[MAP_TEXTURES]
#idScene	rowSprites	columnSprites	IDTileSet
1	21	11	71	

[MAP]
# filePath	column	row	index	align
map/map7.txt	128	48	0	0

[CAMERA]
#xLeft	xRight	yTop	yBot
0	2032	0	384

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type

# Gimmick
#start
1	1984	80	1	480	352

# Brick in first layer
type	x	y	an_set
4	0	48	401
4	16	48	401
4	32	48	401
4	48	48	401
4	64	48	401
4	80	48	401
4	96	48	401
4	112	48	401
4	128	48	401
4	144	48	401
4	160	48	401
4	176	48	401
4	192	48	401
4	208	48	401
4	224	48	401
4	240	48	401
4	256	48	401
4	272	48	401
4	288	48	401
4	304	48	401
4	320	48	401
4	336	48	401
4	352	48	401
4	368	48	401
4	384	48	401
4	400	48	401
4	416	48	401
4	432	48	401
4	448	48	401
4	464	48	401
4	480	48	401
4	496	48	401
4	512	48	401
4	528	48	401
4	544	48	401
4	560	48	401
4	576	48	401
4	592	48	401
4	608	48	401
4	624	48	401
4	640	48	401
4	656	48	401
4	672	48	401
4	688	48	401
4	704	48	401
4	720	48	401
4	736	48	401
4	752	48	401
4	768	48	401
4	784	48	401
4	800	48	401
4	816	48	401
4	832	48	401
4	848	48	401
4	864	48	401
4	880	48	401
4	896	48	401
4	912	48	401
4	928	48	401
4	944	48	401
4	960	48	401
4	976	48	401
4	992	48	401
4	1008	48	401
4	1024	48	401
4	1040	48	401
4	1056	48	401
4	1072	48	401
4	1088	48	401
4	1104	48	401
4	1120	48	401
4	1136	48	401
4	1152	48	401
4	1168	48	401
4	1184	48	401
4	1200	48	401
4	1216	48	401
4	1232	48	401
4	1248	48	401
4	1264	48	401
4	1280	48	401
4	1296	48	401
4	1312	48	401
4	1328	48	401
4	1344	48	401
4	1360	48	401
4	1376	48	401
4	1392	48	401
4	1408	48	401
4	1424	48	401
4	1440	48	401
4	1456	48	401
4	1472	48	401
4	1488	48	401
4	1504	48	401
4	1520	48	401
4	1536	48	401
4	1552	48	401
